thingId;G;F;D
28888;0.63;0.93;0.67
28889;0.66;0.93;0.71
28890;0.79;0.91;0.86
28891;0.56;0.94;0.6
28892;0.68;0.93;0.73
28893;0.39;0.46;0.86
28894;0.31;0.4;0.78
28895;0.34;0.43;0.8
28896;0.33;0.45;0.72
28897;0.43;0.54;0.79
28898;0.29;0.43;0.69
28899;0.38;0.5;0.75
28900;0.08;0.16;0.5
28901;0.29;0.47;0.62
28902;0.23;0.57;0.4
28903;0.43;0.64;0.67
28904;0.36;0.48;0.75
28905;0.4;0.48;0.83
28906;0.29;0.47;0.62
28907;0.37;0.5;0.74
28908;0.92;0.92;1.0
28909;0.93;0.93;1.0
28910;0.92;0.92;1.0
28911;0.92;0.92;1.0
28912;0.93;0.93;1.0
28913;0.91;0.91;1.0
28914;0.9;0.9;1.0
28915;0.54;0.54;1.0
28916;0.54;0.54;1.0
28917;0.35;0.35;1.0
28918;0.43;0.43;1.0
28919;0.49;0.49;1.0
28920;0.55;0.55;1.0
28921;0.42;0.42;1.0
28922;0.6;0.6;1.0
28923;0.51;0.51;1.0
28924;0.53;0.53;1.0
28925;0.45;0.45;1.0
28926;0.51;0.51;1.0
28927;0.47;0.47;1.0
28928;0.42;0.42;1.0
28929;0.34;0.34;1.0
28930;0.56;0.56;1.0
28931;0.47;0.47;1.0
28932;0.54;0.54;1.0
28933;0.39;0.39;1.0
28934;0.44;0.44;1.0
28935;0.53;0.53;1.0
28936;0.63;0.63;1.0
28937;0.47;0.47;1.0
28888;0.8;0.91;0.88
28889;0.78;0.92;0.85
28890;0.79;0.91;0.86
28891;0.74;0.92;0.8
28892;0.77;0.92;0.84
28893;0.42;0.49;0.86
28894;0.38;0.41;0.92
28895;0.39;0.43;0.91
28896;0.36;0.41;0.89
28897;0.47;0.54;0.87
28898;0.37;0.46;0.81
28899;0.43;0.49;0.89
28900;0.08;0.16;0.5
28901;0.39;0.49;0.81
28902;0.39;0.44;0.88
28903;0.46;0.5;0.91
28904;0.46;0.52;0.89
28905;0.45;0.51;0.89
28906;0.36;0.43;0.85
28907;0.41;0.48;0.85
28908;0.91;0.91;1.0
28909;0.91;0.91;1.0
28910;0.91;0.91;1.0
28911;0.91;0.91;1.0
28912;0.91;0.91;1.0
28913;0.91;0.91;1.0
28914;0.91;0.91;1.0
28915;0.52;0.52;1.0
28916;0.45;0.45;1.0
28917;0.48;0.48;1.0
28918;0.46;0.47;0.99
28919;0.44;0.44;1.0
28920;0.53;0.53;1.0
28921;0.43;0.43;1.0
28922;0.53;0.53;1.0
28923;0.47;0.47;1.0
28924;0.44;0.44;1.0
28925;0.45;0.45;1.0
28926;0.46;0.46;1.0
28927;0.52;0.52;1.0
28928;0.44;0.44;1.0
28929;0.4;0.4;1.0
28930;0.49;0.49;1.0
28931;0.47;0.47;1.0
28932;0.5;0.5;1.0
28933;0.43;0.43;1.0
28934;0.5;0.5;1.0
28935;0.51;0.51;1.0
28936;0.53;0.53;1.0
28937;0.44;0.44;1.0
28888;0.84;0.91;0.92
28889;0.84;0.91;0.93
